属性标识符,时间(ms),时间,属性值,原始JSON
CO2Value,1780276118037,2026-06-01 09:08:38,478,"{""time"": 1780276118037, ""value"": ""478""}"
CO2Value,1780276123046,2026-06-01 09:08:43,478,"{""time"": 1780276123046, ""value"": ""478""}"
CO2Value,1780276128048,2026-06-01 09:08:48,478,"{""time"": 1780276128048, ""value"": ""478""}"
CO2Value,1780276133038,2026-06-01 09:08:53,478,"{""time"": 1780276133038, ""value"": ""478""}"
CO2Value,1780276138045,2026-06-01 09:08:58,476,"{""time"": 1780276138045, ""value"": ""476""}"
CO2Value,1780276143049,2026-06-01 09:09:03,472,"{""time"": 1780276143049, ""value"": ""472""}"
CO2Value,1780276148055,2026-06-01 09:09:08,472,"{""time"": 1780276148055, ""value"": ""472""}"
CO2Value,1780276153042,2026-06-01 09:09:13,471,"{""time"": 1780276153042, ""value"": ""471""}"
CO2Value,1780276158053,2026-06-01 09:09:18,472,"{""time"": 1780276158053, ""value"": ""472""}"
CO2Value,1780276163037,2026-06-01 09:09:23,473,"{""time"": 1780276163037, ""value"": ""473""}"
CO2Value,1780276168037,2026-06-01 09:09:28,474,"{""time"": 1780276168037, ""value"": ""474""}"
CO2Value,1780276173051,2026-06-01 09:09:33,475,"{""time"": 1780276173051, ""value"": ""475""}"
CO2Value,1780276178034,2026-06-01 09:09:38,474,"{""time"": 1780276178034, ""value"": ""474""}"
CO2Value,1780276183037,2026-06-01 09:09:43,474,"{""time"": 1780276183037, ""value"": ""474""}"
CO2Value,1780276188037,2026-06-01 09:09:48,473,"{""time"": 1780276188037, ""value"": ""473""}"
CO2Value,1780276193042,2026-06-01 09:09:53,473,"{""time"": 1780276193042, ""value"": ""473""}"
CO2Value,1780276198045,2026-06-01 09:09:58,473,"{""time"": 1780276198045, ""value"": ""473""}"
CO2Value,1780276203042,2026-06-01 09:10:03,473,"{""time"": 1780276203042, ""value"": ""473""}"
CO2Value,1780276208036,2026-06-01 09:10:08,473,"{""time"": 1780276208036, ""value"": ""473""}"
CO2Value,1780276213046,2026-06-01 09:10:13,474,"{""time"": 1780276213046, ""value"": ""474""}"
CO2Value,1780276218041,2026-06-01 09:10:18,472,"{""time"": 1780276218041, ""value"": ""472""}"
CO2Value,1780276223047,2026-06-01 09:10:23,472,"{""time"": 1780276223047, ""value"": ""472""}"
CO2Value,1780276228043,2026-06-01 09:10:28,471,"{""time"": 1780276228043, ""value"": ""471""}"
CO2Value,1780276233048,2026-06-01 09:10:33,470,"{""time"": 1780276233048, ""value"": ""470""}"
CO2Value,1780276238051,2026-06-01 09:10:38,468,"{""time"": 1780276238051, ""value"": ""468""}"
CO2Value,1780276243050,2026-06-01 09:10:43,466,"{""time"": 1780276243050, ""value"": ""466""}"
CO2Value,1780276248045,2026-06-01 09:10:48,465,"{""time"": 1780276248045, ""value"": ""465""}"
CO2Value,1780276253082,2026-06-01 09:10:53,465,"{""time"": 1780276253082, ""value"": ""465""}"
CO2Value,1780276258042,2026-06-01 09:10:58,464,"{""time"": 1780276258042, ""value"": ""464""}"
CO2Value,1780276263046,2026-06-01 09:11:03,465,"{""time"": 1780276263046, ""value"": ""465""}"
CO2Value,1780276268046,2026-06-01 09:11:08,464,"{""time"": 1780276268046, ""value"": ""464""}"
CO2Value,1780276273041,2026-06-01 09:11:13,466,"{""time"": 1780276273041, ""value"": ""466""}"
CO2Value,1780276278046,2026-06-01 09:11:18,464,"{""time"": 1780276278046, ""value"": ""464""}"
CO2Value,1780276283051,2026-06-01 09:11:23,464,"{""time"": 1780276283051, ""value"": ""464""}"
CO2Value,1780276288047,2026-06-01 09:11:28,462,"{""time"": 1780276288047, ""value"": ""462""}"
CO2Value,1780276293045,2026-06-01 09:11:33,463,"{""time"": 1780276293045, ""value"": ""463""}"
CO2Value,1780276298047,2026-06-01 09:11:38,465,"{""time"": 1780276298047, ""value"": ""465""}"
CO2Value,1780276303044,2026-06-01 09:11:43,463,"{""time"": 1780276303044, ""value"": ""463""}"
CO2Value,1780276308040,2026-06-01 09:11:48,463,"{""time"": 1780276308040, ""value"": ""463""}"
CO2Value,1780276313044,2026-06-01 09:11:53,463,"{""time"": 1780276313044, ""value"": ""463""}"
CO2Value,1780276318060,2026-06-01 09:11:58,463,"{""time"": 1780276318060, ""value"": ""463""}"
CO2Value,1780276323039,2026-06-01 09:12:03,464,"{""time"": 1780276323039, ""value"": ""464""}"
CO2Value,1780276328041,2026-06-01 09:12:08,466,"{""time"": 1780276328041, ""value"": ""466""}"
CO2Value,1780276333039,2026-06-01 09:12:13,464,"{""time"": 1780276333039, ""value"": ""464""}"
CO2Value,1780276338047,2026-06-01 09:12:18,464,"{""time"": 1780276338047, ""value"": ""464""}"
CO2Value,1780276343040,2026-06-01 09:12:23,464,"{""time"": 1780276343040, ""value"": ""464""}"
CO2Value,1780276348040,2026-06-01 09:12:28,467,"{""time"": 1780276348040, ""value"": ""467""}"
CO2Value,1780276353040,2026-06-01 09:12:33,466,"{""time"": 1780276353040, ""value"": ""466""}"
CO2Value,1780276358037,2026-06-01 09:12:38,465,"{""time"": 1780276358037, ""value"": ""465""}"
CO2Value,1780276363047,2026-06-01 09:12:43,468,"{""time"": 1780276363047, ""value"": ""468""}"
CO2Value,1780276399352,2026-06-01 09:13:19,400,"{""time"": 1780276399352, ""value"": ""400""}"
CO2Value,1780276404265,2026-06-01 09:13:24,478,"{""time"": 1780276404265, ""value"": ""478""}"
CO2Value,1780276409260,2026-06-01 09:13:29,436,"{""time"": 1780276409260, ""value"": ""436""}"
CO2Value,1780276414261,2026-06-01 09:13:34,460,"{""time"": 1780276414261, ""value"": ""460""}"
CO2Value,1780276419251,2026-06-01 09:13:39,473,"{""time"": 1780276419251, ""value"": ""473""}"
CO2Value,1780276424255,2026-06-01 09:13:44,483,"{""time"": 1780276424255, ""value"": ""483""}"
CO2Value,1780276429312,2026-06-01 09:13:49,473,"{""time"": 1780276429312, ""value"": ""473""}"
CO2Value,1780276434270,2026-06-01 09:13:54,459,"{""time"": 1780276434270, ""value"": ""459""}"
CO2Value,1780276439251,2026-06-01 09:13:59,454,"{""time"": 1780276439251, ""value"": ""454""}"
CO2Value,1780276444252,2026-06-01 09:14:04,451,"{""time"": 1780276444252, ""value"": ""451""}"
CO2Value,1780276449259,2026-06-01 09:14:09,450,"{""time"": 1780276449259, ""value"": ""450""}"
CO2Value,1780276454271,2026-06-01 09:14:14,449,"{""time"": 1780276454271, ""value"": ""449""}"
CO2Value,1780276459257,2026-06-01 09:14:19,450,"{""time"": 1780276459257, ""value"": ""450""}"
CO2Value,1780276464253,2026-06-01 09:14:24,451,"{""time"": 1780276464253, ""value"": ""451""}"
CO2Value,1780276469263,2026-06-01 09:14:29,452,"{""time"": 1780276469263, ""value"": ""452""}"
CO2Value,1780276474257,2026-06-01 09:14:34,453,"{""time"": 1780276474257, ""value"": ""453""}"
CO2Value,1780276479249,2026-06-01 09:14:39,453,"{""time"": 1780276479249, ""value"": ""453""}"
CO2Value,1780276484256,2026-06-01 09:14:44,453,"{""time"": 1780276484256, ""value"": ""453""}"
CO2Value,1780276489262,2026-06-01 09:14:49,452,"{""time"": 1780276489262, ""value"": ""452""}"
CO2Value,1780276494260,2026-06-01 09:14:54,451,"{""time"": 1780276494260, ""value"": ""451""}"
CO2Value,1780276499269,2026-06-01 09:14:59,451,"{""time"": 1780276499269, ""value"": ""451""}"
CO2Value,1780276504261,2026-06-01 09:15:04,451,"{""time"": 1780276504261, ""value"": ""451""}"
CO2Value,1780276509256,2026-06-01 09:15:09,450,"{""time"": 1780276509256, ""value"": ""450""}"
CO2Value,1780276514264,2026-06-01 09:15:14,450,"{""time"": 1780276514264, ""value"": ""450""}"
